date,pnl
2023-06-08,0
2023-06-09,0
2023-06-10,0
2023-06-11,0
2023-06-12,0
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,0
2023-06-17,0
2023-06-18,-0.012
2023-06-19,-0.018139277127863385
2023-06-20,0.009847639891867665
2023-06-21,0.032404983430620156
2023-06-22,0.0555906779557427
2023-06-23,0.012486759686132174
2023-06-24,0.033020505001002884
2023-06-25,0.002245826303075595
2023-06-26,0.018524834278189732
2023-06-27,-0.022556535896918528
2023-06-28,-0.0031082694383637315
2023-06-29,-0.04003086108479456
2023-06-30,0.07225338734075633
2023-07-01,0.11563060764171579
2023-07-02,0.0876532324053399
2023-07-03,0.12546857254095867
2023-07-04,0.10253164144766529
2023-07-05,0.09564065401985461
2023-07-06,0.07557792564264358
2023-07-07,0.12151411363223236
2023-07-08,0.19577385987747106
2023-07-09,0.20927824641664347
2023-07-10,0.1693209767490508
2023-07-11,0.1581178513016575
2023-07-12,0.1905261227890316
2023-07-13,0.17804049732107624
2023-07-14,0.3771236893265004
2023-07-15,0.39839927867685004
2023-07-16,0.4152641018354218
2023-07-17,0.400128132177993
2023-07-18,0.3603658019954029
2023-07-19,0.2816418546260562
2023-07-20,0.3123749266507627
2023-07-21,0.2612035720278125
2023-07-22,0.273990384372973
2023-07-23,0.21706573604162
2023-07-24,0.2329923620809551
2023-07-25,0.16509489376483735
2023-07-26,0.15730960606836278
2023-07-27,0.24348666467884825
2023-07-28,0.2326738834718661
2023-07-29,0.21238434868204467
2023-07-30,0.2220238973707892
2023-07-31,0.177975550509133
2023-08-01,0.15296041218295545
2023-08-02,0.16124219871155382
2023-08-03,0.12246680979197115
2023-08-04,0.09891125690076868
2023-08-05,0.10653499373670959
2023-08-06,0.09747152080679015
2023-08-07,0.12371720241513613
2023-08-08,0.1184059160837954
2023-08-09,0.16954814655048178
2023-08-10,0.1730857046744821
2023-08-11,0.17916080122879902
2023-08-12,0.1722899488593935
2023-08-13,0.18221214689364634
2023-08-14,0.14608545540858464
2023-08-15,0.18534765027434974
2023-08-16,0.12478049094739371
2023-08-17,0.07577413533628961
2023-08-18,0.01866734574594606
2023-08-19,0.0035853252660333953
2023-08-20,0.02968339015118933
2023-08-21,0.02345599352590511
2023-08-22,-0.002513229646073121
2023-08-23,-0.03337650707958533
2023-08-24,0.019126879254335722
2023-08-25,-0.011627548048446023
2023-08-26,-0.041759231927144314
2023-08-27,-0.04742187487789643
2023-08-28,-0.023282372849536322
2023-08-29,-0.03368505786960235
2023-08-30,0.022321964527354105
2023-08-31,-0.021222318237874547
2023-09-01,-0.07397994027331098
2023-09-02,-0.09260602964761262
2023-09-03,-0.08646598542857183
2023-09-04,-0.08133893603238267
2023-09-05,-0.08535531432712985
2023-09-06,-0.047516784610456005
2023-09-07,-0.07822671192836074
2023-09-08,-0.0645262425324853
2023-09-09,-0.07843264823152028
2023-09-10,-0.08584103286823709
2023-09-11,-0.1598626201690962
2023-09-12,-0.19872189323824335
2023-09-13,-0.20136656430340413
2023-09-14,-0.19502648981466392
2023-09-15,-0.1853118092682376
2023-09-16,-0.17250728785556319
2023-09-17,-0.17771936945008376
2023-09-18,-0.1923757039040919
2023-09-19,-0.16616149078991094
2023-09-20,-0.1526062445606841
2023-09-21,-0.14369909153080979
2023-09-22,-0.16601614678712126
2023-09-23,-0.16698685114394124
2023-09-24,-0.16598478632410063
2023-09-25,-0.16956334831218262
2023-09-26,-0.16827085143988665
2023-09-27,-0.18282209594251386
2023-09-28,-0.1827360245701603
2023-09-29,-0.15764586450935467
2023-09-30,-0.14604930529987745
2023-10-01,-0.1131429879669801
2023-10-02,-0.039892268357082886
2023-10-03,-0.05327762310846608
2023-10-04,-0.04882731905672741
2023-10-05,-0.06027476051090571
2023-10-06,-0.07222429247235977
2023-10-07,-0.05047071279995817
2023-10-08,-0.054167510135064455
2023-10-09,-0.055518287136739
2023-10-10,-0.08993447062764465
2023-10-11,-0.09006652415468411
2023-10-12,-0.09448632966160825
2023-10-13,-0.11552626633469174
2023-10-14,-0.09855492775684503
2023-10-15,-0.09316761071016377
2023-10-16,-0.09583973875363526
2023-10-17,-0.03314375012336647
2023-10-18,-0.033233837892972636
2023-10-19,-0.049218595971323754
2023-10-20,-0.0031245718250641247
2023-10-21,0.06038092622611039
2023-10-22,0.13937108572610296
2023-10-23,0.12779157481625253
2023-10-24,0.24860605673772243
2023-10-25,0.2150371506790235
2023-10-26,0.31597697325329643
2023-10-27,0.36055953811954844
2023-10-28,0.36241340403474176
2023-10-29,0.38291350651227585
2023-10-30,0.43910837426179433
