date,price,7-days moving avg
2023-06-08,18.64940911323256,N/A
2023-06-09,18.91886786249937,N/A
2023-06-10,17.319852048307002,N/A
2023-06-11,15.712291030595962,N/A
2023-06-12,15.552165715300829,N/A
2023-06-13,15.219121441698295,N/A
2023-06-14,14.996084137168715,N/A
2023-06-15,14.511891316589251,16.623970192686105
2023-06-16,14.741774826096673,16.032896221737058
2023-06-17,15.305652843805758,15.436168645108102
2023-06-18,15.626354272653252,15.148425901607926
2023-06-19,15.434485233897272,15.136149221901826
2023-06-20,16.038762253116875,15.119337724558461
2023-06-21,16.625143403026637,15.236429269046832
2023-06-22,17.263202092310653,15.469152021312246
2023-06-23,16.645392580230443,15.862196417843874
2023-06-24,17.100927585909893,16.13414181129156
2023-06-25,16.63062758389679,16.39060963159215
2023-06-26,16.96011970924781,16.53407724748408
2023-06-27,16.284012804480415,16.752025029677014
2023-06-28,16.60408750457774,16.78706082272895
2023-06-29,15.996424735598712,16.78405283723625
2023-06-30,17.998439800632905,16.603084643420257
2023-07-01,18.93035984897103,16.79637710347775
2023-07-02,18.612769704794168,17.05772456962934
2023-07-03,19.44673332510388,17.34088772975754
2023-07-04,19.20521438307814,17.69611824630841
2023-07-05,19.218958872995298,18.113432757536653
2023-07-06,18.972151107472232,18.486985810167734
2023-07-07,19.919047781939852,18.912089577578232
2023-07-08,21.43877643006556,19.18646214633637
2023-07-09,21.896701111607186,19.54480737220702
2023-07-10,21.351397376477994,20.013940430323167
2023-07-11,21.302647128052204,20.286035294805178
2023-07-12,22.068233989934726,20.585668544087188
2023-07-13,21.997627799970363,20.992707846507106
2023-07-14,25.990368470421153,21.424918802578272
2023-07-15,26.708371434451514,22.292250329504167
2023-07-16,27.351375942539022,23.045049615845016
2023-07-17,27.365079998210923,23.82428887740671
2023-07-18,26.861798043195297,24.68338639479713
2023-07-19,25.526176388954614,25.477550811246143
2023-07-20,26.353311684653363,25.9715425825347
2023-07-21,25.3350693194684,26.593783137489414
2023-07-22,25.58950999514426,26.50016897306759
2023-07-23,24.45678468463933,26.340331624595127
2023-07-24,24.773703505475776,25.92681858775231
2023-07-25,23.422633571179617,25.55662194593301
2023-07-26,23.267716629540782,25.06531273564505
2023-07-27,25.1519878372353,24.74267562715736
2023-07-28,25.093488053679394,24.571057934669067
2023-07-29,24.825803970620775,24.53654632527064
2023-07-30,25.16504796989767,24.427445464624423
2023-07-31,24.266784359176683,24.528625933947044
2023-08-01,23.75665877952372,24.456208913047174
2023-08-02,23.92554655853081,24.503926799953472
2023-08-03,23.134812664080517,24.59790250409491
2023-08-04,22.654451935469393,24.309734622215654
2023-08-05,22.809920321126338,23.961300891042793
2023-08-06,22.62509186558245,23.673317512543594
2023-08-07,23.16031151415157,23.31046664049856
2023-08-08,23.05200017950495,23.152399091209254
2023-08-09,24.203816824917432,23.051733576920864
2023-08-10,24.384610250755937,23.09148647211895
2023-08-11,24.61887321060917,23.27002898450115
2023-08-12,24.57980986376842,23.550660595235403
2023-08-13,24.891819066984105,23.803501958469987
2023-08-14,24.223294007901522,24.1273201300988
2023-08-15,25.14772487652887,24.279174772063076
2023-08-16,23.875641318375827,24.578564014495065
2023-08-17,22.846367700285874,24.53168179927484
2023-08-18,21.646961802699884,24.3119328634934
2023-08-19,21.330196240480664,23.88737409093493
2023-08-20,21.878330239316607,23.423143573322395
2023-08-21,21.747537100837746,22.992645169369894
2023-08-22,21.20210914644501,22.638965611217923
2023-08-23,20.55389205635584,22.075306221205942
2023-08-24,21.672558527450196,21.600770612345944
2023-08-25,21.02615201908747,21.433083587655137
2023-08-26,20.392834533596297,21.344396475710504
2023-08-27,20.27381527104058,21.21048766044131
2023-08-28,20.781187138711672,20.981271236401877
2023-08-29,20.562540137575354,20.843221241812437
2023-08-30,21.756889820182593,20.751854240545345
2023-08-31,20.840938892992455,20.923711063949167
2023-09-01,19.73118602186944,20.804908259026632
2023-09-02,19.339387541129707,20.619913116566913
2023-09-03,19.46854293968664,20.469420689071686
2023-09-04,19.57639006334943,20.35438178459255
2023-09-05,19.491905828235154,20.182267916683656
2023-09-06,20.270462383722805,20.02932015820649
2023-09-07,19.625034431663497,19.816973381569376
2023-09-08,19.887886504760793,19.64327274423667
2023-09-09,19.59598499714458,19.66565852750686
2023-09-10,19.440479779530477,19.702315306937557
2023-09-11,18.241559982955604,19.698306284058106
2023-09-12,17.705129864271623,19.507616272573273
2023-09-13,17.94444618355289,19.25236256343563
2023-09-14,18.403573351427394,18.920074534839923
2023-09-15,18.829900592345915,18.745580094806197
2023-09-16,19.17312182700796,18.594439250175498
2023-09-17,19.126902793634855,18.53403022587027
2023-09-18,18.803112818374224,18.489233513599462
2023-09-19,19.64014703071697,18.569455347230694
2023-09-20,20.04209873431388,18.8458863710086
2023-09-21,20.287247895504184,19.145551021117313
2023-09-22,19.470117691401224,19.414647384556854
2023-09-23,19.437726515592722,19.506106970136184
2023-09-24,19.47116415036064,19.54390763993401
2023-09-25,19.351752066049695,19.59308783375198
2023-09-26,19.394881050820743,19.671464869134187
2023-09-27,19.01708701773738,19.636426872006155
2023-09-28,19.12786529422154,19.489996626780943
2023-09-29,19.94620329719107,19.324370540883418
2023-09-30,20.294161364007895,19.392382770281973
2023-10-01,21.387052432956956,19.514730605769852
2023-10-02,23.88149631052896,19.78842893185504
2023-10-03,23.40994675528492,20.435535252494933
2023-10-04,23.546636568867523,21.009116067418386
2023-10-05,23.14279023721254,21.656194574722694
2023-10-06,22.719916973389385,22.229755280864264
2023-10-07,23.43163795467068,22.62600009174974
